#image_name, u, v, x, y, z
5M6A1119, 4167.145675702072, 2230.64652098009, 15, 60, 0
5M6A1120, 4498.586013304943, 2234.8606074977547, 30, 60, 0
5M6A1118, 3843.4362031456894, 2228.22120070188, 0, 60, 0
5M6A1117, 5448.603407794152, 2729.5264998995813, 75, 45, 0
5M6A1116, 5097.356078004426, 2724.2991982479502, 60, 45, 0
5M6A1115, 4753.518547047259, 2713.197844195938, 45, 45, 0
5M6A1114, 4412.479374406792, 2709.0775418452454, 30, 45, 0
5M6A1113, 4079.759602845383, 2697.2132232190843, 15, 45, 0
5M6A1112, 3754.591308545899, 2693.149528091189, 0, 45, 0
5M6A1111, 5368.241896923041, 3221.882174729044, 75, 30, 0
5M6A1110, 5014.542959687818, 3212.5309755850217, 60, 30, 0
5M6A1109, 4668.061358486293, 3202.2098577068814, 45, 30, 0
5M6A1106, 3665.391903896348, 3165.1991038326423, 0, 30, 0
5M6A1108, 4330.969454907799, 3183.0106497463257, 30, 30, 0
5M6A1107, 3993.284695228055, 3176.7048197419513, 15, 30, 0
5M6A1105, 5281.116211034723, 3733.0668865398866, 75, 15, 0
5M6A1104, 4927.799187583793, 3703.2071111786827, 60, 15, 0
5M6A1103, 4578.6318099658865, 3699.9776057537842, 45, 15, 0
5M6A1102, 4239.229314794764, 3665.1108365422306, 30, 15, 0
5M6A1101, 3896.3584628956332, 3674.0607402314026, 15, 15, 0
5M6A1100, 3570.8264265887346, 3645.1516391955684, 0, 15, 0
5M6A1098, 4834.960118474238, 4230.990469664244, 60, 0, 0
5M6A1099, 5193.793937829899, 4240.679971091096, 75, 0, 0
5M6A1097, 4489.441981743394, 4200.597667424004, 45, 0, 0
5M6A1096, 4141.303223091148, 4182.679972517792, 30, 0, 0
5M6A1095, 3807.181910106664, 4134.7456078396435, 15, 0, 0
5M6A1094, 3475.318116037062, 4124.539939118056, 0, 0, 0
