#image_name, u, v, x, y, z
0C5A0664, 4075.7561635395136, 3822.9536769663227, 30, 15, 40
0C5A0663, 3741.8867145948207, 3809.988369782583, 15, 15, 40
0C5A0662, 3401.4728430932532, 3773.5232995068686, 0, 15, 40
0C5A0661, 5083.377594243034, 4370.070673509981, 75, 0, 40
0C5A0660, 4767.833018056196, 4389.894155234181, 60, 0, 40
0C5A0659, 4447.826171746812, 4380.6711996145, 45, 0, 40
0C5A0658, 4111.564535968201, 4330.755068256714, 30, 0, 40
0C5A0657, 3773.7973603955866, 4313.954447467605, 15, 0, 40
0C5A0656, 3431.8675457311556, 4300.3956266967725, 0, 0, 40
0C5A0655, 4702.887041038083, 2105.0229654944314, 75, 75, 20
0C5A0654, 4398.054249105244, 2073.691612942115, 60, 75, 20
0C5A0653, 4092.1429575170446, 2030.098979669441, 45, 75, 20
0C5A0652, 3772.58935203736, 1988.4412584530826, 30, 75, 20
0C5A0651, 3447.9959002550067, 1940.0110247608168, 15, 75, 20
0C5A0650, 3121.305472962041, 1924.593302681961, 0, 75, 20
0C5A0649, 4738.043167013368, 2554.1532457446756, 75, 60, 20
0C5A0648, 4431.374194435245, 2520.8379719173167, 60, 60, 20
0C5A0647, 4121.1361488696775, 2488.3273123005047, 45, 60, 20
0C5A0646, 3800.670780983311, 2457.7391183546915, 30, 60, 20
0C5A0645, 3473.9241229707322, 2414.518190297787, 15, 60, 20
0C5A0644, 3145.092127713431, 2385.4167574859716, 0, 60, 20
0C5A0643, 4776.202084294317, 3021.647161429464, 75, 45, 20
0C5A0642, 4467.7646049619225, 2994.9720408525295, 60, 45, 20
0C5A0641, 4157.19432591403, 2962.217076407061, 45, 45, 20
0C5A0640, 3834.626950648273, 2936.9721153730306, 30, 45, 20
0C5A0639, 3505.5301263621054, 2904.0725054812615, 15, 45, 20
0C5A0638, 3170.596190595216, 2873.2964086035954, 0, 45, 20
0C5A0637, 4814.869832983455, 3500.5708517482262, 75, 30, 20
0C5A0636, 4505.302873562342, 3472.889181786612, 60, 30, 20
0C5A0635, 4187.48464896072, 3446.553905503061, 45, 30, 20
0C5A0634, 3862.7568508779073, 3418.676114952945, 30, 30, 20
0C5A0633, 3533.163526562138, 3389.4395619552347, 15, 30, 20
0C5A0632, 3196.1944021470827, 3368.518080081123, 0, 30, 20
0C5A0631, 4853.676598656189, 3976.9440444718452, 75, 15, 20
0C5A0630, 4539.796485809777, 3960.793508871869, 60, 15, 20
0C5A0629, 4221.472017505589, 3933.0143667796274, 45, 15, 20
0C5A0628, 3894.883322446013, 3917.0007679822215, 30, 15, 20
0C5A0627, 3561.4261131997037, 3895.441046683759, 15, 15, 20
0C5A0626, 3221.7010837623934, 3873.4709560605615, 0, 15, 20
0C5A0625, 4892.9749962311025, 4446.173608566604, 75, 0, 20
0C5A0624, 4578.691097857205, 4455.046426544204, 60, 0, 20
0C5A0623, 4261.099571184368, 4435.84450602312, 45, 0, 20
0C5A0622, 3928.427395426215, 4394.776615683813, 30, 0, 20
0C5A0621, 3594.9422807392975, 4395.190252281213, 15, 0, 20
0C5A0620, 3251.390948097999, 4381.802601899743, 0, 0, 20
0C5A0619, 4530.204513659664, 2199.7700323393483, 75, 75, 0
0C5A0618, 4227.768473498873, 2169.272073360095, 60, 75, 0
0C5A0617, 3920.440364869688, 2134.429343079465, 45, 75, 0
0C5A0616, 3605.524876852256, 2081.220758184297, 30, 75, 0
0C5A0615, 3284.6534963066883, 2049.7607517699166, 15, 75, 0
0C5A0614, 2957.187317606861, 2026.1871208265256, 0, 75, 0
0C5A0613, 4563.6014171461275, 2651.7469404008802, 75, 60, 0
0C5A0612, 4258.594351602159, 2617.5925210807145, 60, 60, 0
0C5A0611, 3951.989842060849, 2593.6314140621516, 45, 60, 0
0C5A0610, 3632.2896510774713, 2564.0135439773358, 30, 60, 0
0C5A0609, 3306.426904504835, 2518.406936463335, 15, 60, 0
0C5A0608, 2978.4758412759643, 2486.8530497209463, 0, 60, 0
0C5A0607, 4598.31095421903, 3115.1580455677113, 75, 45, 0
0C5A0606, 4292.651253306461, 3089.883845181045, 60, 45, 0
